Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
28,Bowling Green State,32,14,18,.438,-9.38,-5.95,,8,10,,8,8,,5,8,,2352,2366,,70.1,104.8,.337,.401,.546,49.5,44.0,10.3,9.6,.508,15.4,26.5,.251
29,Bradley,34,26,8,.765,6.24,-0.04,,15,5,,13,3,,8,3,,2612,2339,,66.5,113.9,.314,.429,.599,51.1,53.7,9.9,11.5,.570,15.2,26.8,.237
30,Brigham Young NCAA,33,24,9,.727,19.80,9.71,,14,6,,15,2,,6,5,,2672,2339,,67.8,117.3,.302,.483,.593,54.3,59.9,10.4,9.8,.572,15.1,33.3,.213
31,Brown,27,14,13,.519,-4.92,-4.00,,6,8,,8,6,,6,7,,1950,1933,,67.4,105.7,.278,.409,.534,50.4,55.0,8.7,14.0,.517,14.7,30.8,.175
32,Bryant NCAA,34,23,11,.676,-1.68,-7.55,,14,2,,12,3,,10,7,,2800,2511,,73.5,111.7,.299,.354,.549,53.4,49.5,9.1,14.5,.520,13.8,34.9,.214
33,Bucknell,33,18,15,.545,-5.08,-5.95,,13,5,,12,4,,6,10,,2443,2414,,67.4,105.0,.367,.410,.562,49.8,52.0,9.4,9.2,.538,16.6,26.0,.244
34,Buffalo,31,9,22,.290,-14.94,-3.70,,4,14,,6,9,,3,13,,2226,2508,,73.3,98.0,.338,.439,.527,47.1,54.0,9.2,8.8,.493,17.6,25.1,.237
35,Butler,33,14,19,.424,10.32,10.29,,6,14,,9,8,,2,9,,2437,2436,,67.3,109.4,.373,.409,.568,50.2,55.5,6.0,6.9,.530,14.5,26.4,.277
36,Cal Poly,35,16,19,.457,-1.95,-0.15,,8,12,,9,5,,5,13,,2873,2901,,75.0,107.9,.267,.509,.583,48.0,52.9,10.3,5.6,.554,18.2,28.0,.205
37,Cal State Bakersfield,33,14,19,.424,-5.42,-1.74,,8,12,,9,6,,4,11,,2434,2430,,67.6,108.3,.343,.295,.538,53.0,39.2,10.0,9.0,.494,15.5,36.7,.264
38,Cal State Fullerton,32,6,26,.188,-15.46,0.87,,1,19,,4,11,,2,15,,2024,2475,,68.8,92.0,.398,.338,.500,48.5,42.2,7.7,6.1,.447,19.0,27.2,.295
39,Cal State Northridge,32,22,10,.688,2.66,-3.28,,14,6,,10,3,,10,6,,2580,2319,,72.9,110.2,.359,.313,.558,56.1,57.4,10.6,10.7,.523,16.0,35.8,.262
40,California,33,14,19,.424,5.85,7.06,,6,14,,11,6,,2,11,,2494,2534,,67.8,108.1,.389,.378,.526,51.8,41.2,9.0,9.3,.478,13.9,34.7,.290
41,California Baptist,32,17,15,.531,-0.72,-1.94,,9,7,,11,5,,4,8,,2280,2241,,67.5,104.4,.297,.350,.522,51.3,45.6,9.7,6.9,.483,15.0,33.3,.225
42,Campbell,32,15,17,.469,-5.18,-4.74,,10,8,,8,6,,7,10,,2246,2169,,66.5,105.1,.303,.413,.544,48.0,54.3,10.3,8.8,.506,14.0,24.6,.234
43,Canisius,31,3,28,.097,-19.00,-5.16,,3,17,,1,12,,2,15,,2008,2437,,66.2,97.8,.233,.414,.540,41.6,47.7,9.3,7.2,.512,17.0,18.3,.177
44,Central Arkansas,33,9,24,.273,-14.66,-3.79,,4,14,,7,7,,1,17,,2318,2578,,67.9,101.1,.280,.482,.513,49.3,55.4,10.6,8.0,.480,15.3,29.4,.201
45,Central Connecticut State,32,25,7,.781,-4.16,-10.90,,14,2,,13,3,,12,3,,2312,2012,,66.5,108.2,.255,.358,.564,52.5,52.4,11.3,12.2,.538,15.0,27.0,.189
46,Central Michigan,31,14,17,.452,-4.35,-2.65,,7,11,,8,6,,6,10,,2341,2237,,69.6,107.7,.362,.338,.553,52.7,50.3,10.5,8.7,.517,15.2,32.1,.262
47,Charleston Southern,32,10,22,.313,-10.82,-2.15,,6,10,,7,5,,3,14,,2307,2503,,69.6,102.3,.448,.424,.526,51.9,47.7,6.7,6.3,.490,16.5,32.0,.296
48,Charlotte,33,11,22,.333,-5.11,-0.30,,3,15,,8,8,,1,12,,2328,2460,,65.4,105.8,.425,.412,.536,47.5,53.2,7.6,5.9,.485,13.2,25.7,.318
49,Chattanooga,33,24,9,.727,0.98,-4.18,,15,3,,13,3,,10,5,,2602,2375,,67.5,115.4,.303,.458,.594,50.1,60.5,10.0,8.7,.564,13.4,26.3,.233
